"track.name","artists","track.album.name","track.album.release_date","track.duration_ms","track.popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","track.duration_ms","valence","time_signature","genre_1","genre_2","genre_3","genre_4","genre_5"
"West Coast","The Neighbourhood","The Love Collection","2013-12-10",253520,56,0.162,0.742,0.468,0.00978,0.337,-6.356,0.108,78.047,1,1,253520,0.456,4,"modern alternative rock","modern rock","pop",NA,NA
"Ferrari","The Neighbourhood","Wiped Out!","2015-10-30",184173,57,0.00235,0.442,0.652,1.06e-06,0.5,-8.636,0.0405,75.576,11,0,184173,0.18,4,"modern alternative rock","modern rock","pop",NA,NA
"Tyrants","Catfish and the Bottlemen","The Balcony","2014-09-15",279067,52,0.000913,0.317,0.699,0.0837,0.612,-5.552,0.0447,136.253,1,1,279067,0.33,4,"modern alternative rock","modern rock","stomp pop","welsh rock",NA
"Milk","The 1975","Milk","2017-10-06",132546,60,0.00518,0.435,0.981,0.0664,0.32,-5.448,0.272,143.073,10,1,132546,0.13,4,"modern alternative rock","modern rock","pop","pov: indie","rock"
"How Far We've Come","Palace","How Far We've Come","2023-04-25",187860,50,0.154,0.568,0.435,0.033,0.313,-9.397,0.0269,140.099,2,1,187860,0.378,4,"english indie rock",NA,NA,NA,NA
"Kathleen","Catfish and the Bottlemen","The Balcony","2014-09-15",160886,68,0.000369,0.489,0.892,0.00293,0.411,-4.757,0.0786,137.93,11,0,160886,0.598,4,"modern alternative rock","modern rock","stomp pop","welsh rock",NA
"She's Thunderstorms","Arctic Monkeys","Suck It and See","2011-06-06",234920,63,0.000518,0.505,0.898,0.00236,0.173,-4.906,0.0329,118.929,7,1,234920,0.731,4,"garage rock","modern rock","permanent wave","rock","sheffield indie"
"High Enough","K.Flay","Every Where Is Some Where","2017-04-07",231600,75,0.0301,0.606,0.62,0.0916,0.167,-5.005,0.0298,88.984,0,1,231600,0.543,4,"escape room","hip pop","modern alternative rock",NA,NA
"Boulevard of Broken Dreams","Green Day","Boulevard of Broken Dreams","2004",261266,75,0.00394,0.49,0.679,1.54e-05,0.0383,-3.68,0.0309,167.046,8,1,261266,0.506,4,"modern rock","permanent wave","punk","rock",NA
"Wake Me up When September Ends","Green Day","American Idiot","2004-09-21",285653,81,0.023,0.546,0.814,0,0.0972,-5.146,0.0314,104.98,7,1,285653,0.146,4,"modern rock","permanent wave","punk","rock",NA
"Fluorescent Adolescent","Arctic Monkeys","Favourite Worst Nightmare","2007-04-22",183893,80,0.00146,0.654,0.828,0.000144,0.122,-5.377,0.0281,112.056,1,0,183893,0.79,4,"garage rock","modern rock","permanent wave","rock","sheffield indie"
"Otherside","Red Hot Chili Peppers","Californication (Deluxe Edition)","1999-06-08",255373,82,0.00316,0.458,0.795,0.000202,0.0756,-3.265,0.0574,123.229,0,1,255373,0.513,4,"alternative rock","funk metal","funk rock","permanent wave","rock"
"Shut up My Moms Calling","Hotel Ugly","Shut up My Moms Calling","2020-02-10",164571,89,0.325,0.485,0.409,0,0.103,-10.711,0.101,138.419,9,0,164571,0.376,4,"modern indie pop",NA,NA,NA,NA
"idfc","blackbear","deadroses","2015-02-14",245172,74,0.611,0.63,0.5,4.04e-05,0.114,-8.755,0.0611,144.871,1,0,245172,0.315,4,"pop",NA,NA,NA,NA
"Wish I Could Forget (with blackbear & Bring Me The Horizon)","SLANDER","Wish I Could Forget (with blackbear & Bring Me The Horizon)","2023-05-19",206000,62,0.01,0.589,0.699,0,0.0925,-4.975,0.0388,119.926,2,0,206000,0.171,4,"brostep","dubstep",NA,NA,NA
"No Buses","Arctic Monkeys","Who The F*** Are Arctic Monkeys?","2006-04-22",197320,65,0.155,0.481,0.524,0.000147,0.0523,-9.051,0.0369,101.883,4,1,197320,0.425,4,"garage rock","modern rock","permanent wave","rock","sheffield indie"
"Back to the Old House - 2011 Remaster","The Smiths","Louder Than Bombs","1987",186626,78,0.0102,0.626,0.488,0.000188,0.141,-7.805,0.0253,104.13,2,1,186626,0.404,3,"madchester","new wave","permanent wave","rock","uk post-punk"
"Romantic Lover","Eyedress","Let's Skip to the Wedding","2020-08-07",86739,83,0.701,0.658,0.447,0.924,0.198,-9.299,0.0869,184.316,9,0,86739,0.538,4,"noise pop",NA,NA,NA,NA
"Mardy Bum","Arctic Monkeys","Whatever People Say I Am, That's What I'm Not","2006-01-29",175440,77,0.0288,0.634,0.599,0,0.197,-5.447,0.0365,112.215,2,1,175440,0.312,4,"garage rock","modern rock","permanent wave","rock","sheffield indie"
"Piledriver Waltz","Arctic Monkeys","Suck It and See","2011-06-06",203880,66,0.00724,0.443,0.865,0.000116,0.468,-4.547,0.0391,110.008,4,1,203880,0.474,4,"garage rock","modern rock","permanent wave","rock","sheffield indie"
"Zürich Is Stained","Pavement","Slanted & Enchanted","1992-04-20",101466,58,0.235,0.624,0.676,0.00301,0.0957,-8.134,0.0291,128.537,0,1,101466,0.377,4,"alternative rock","chamber pop","indie rock","lo-fi","shoegaze"
