"track.name","artists","track.album.name","track.album.release_date","track.duration_ms","track.popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","track.duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6"
"Sweet Melody","Little Mix","Confetti","2020-11-06",213693,66,0.0739,0.448,0.824,0,0.113,-4.249,0.057,119.965,5,0,213693,0.419,4,"76Tuo484SLohJakHLnGI3B","girl group","pop","talent show","uk pop",NA,NA
"Girl From Rio","Anitta","Girl From Rio","2021-04-29",194421,59,0.00727,0.692,0.639,0,0.199,-6.717,0.0352,140.059,0,1,194421,0.733,4,"2plRom0urixt6BE8t7kOhQ","funk pop","funk rj","pagode baiano","pop","pop nacional",NA
"Never Be the Same","Camila Cabello","Camila","2018-01-12",226973,75,0.181,0.637,0.713,0.000637,0.137,-4.333,0.0747,129.923,0,1,226973,0.243,4,"4eWQlBRaTjPPUlzacqEeoQ","dance pop","pop",NA,NA,NA,NA
"Adiós","Selena Gomez","Revelación - EP","2021-03-12",130143,54,0.0768,0.816,0.686,0.0119,0.123,-5.344,0.0697,90.998,1,1,130143,0.587,4,"5MUZhMWlbypeWFeRY4sE2l","pop","post-teen pop",NA,NA,NA,NA
"Wild Side (feat. Cardi B) - Extended Version","Normani","Wild Side (feat. Cardi B)","2021-07-22",248748,52,0.0341,0.733,0.608,0,0.0986,-6.699,0.129,110.091,6,0,248748,0.34,4,"2SSWIysBzyEEPJchLh3LrP","pop","r&b",NA,NA,NA,NA
"Veneno","Anitta","Solo","2018-11-09",158004,58,0.046,0.792,0.768,3.39e-06,0.067,-5.074,0.107,89.917,4,0,158004,0.295,4,"1KFN3kB4hc6r7ILpifFsqf","funk pop","funk rj","pagode baiano","pop","pop nacional",NA
"Ambulancia","Camilo","De Adentro Pa Afuera","2022-09-06",212813,67,0.318,0.821,0.583,0,0.313,-6.028,0.0472,132.056,7,1,212813,0.795,4,"5OPte07J5hRK1pTn0f7ldr","colombian pop","latin pop","latin viral pop","reggaeton colombiano",NA,NA
"No More Sad Songs","Little Mix","Glory Days (Expanded Edition)","2016-11-18",206373,53,0.0634,0.689,0.788,2.16e-05,0.248,-4.347,0.0524,102.039,7,0,206373,0.766,4,"1mXWVDeRMvadSerNTcOCUG","girl group","pop","talent show","uk pop",NA,NA
"You should be sad","Halsey","Manic","2020-01-17",205473,74,0.143,0.591,0.585,0,0.109,-6.35,0.0277,110.94,2,1,205473,0.324,4,"7lidXGPXPYLNThITAOTlkK","electropop","etherpop","indie poptimism","pop",NA,NA
"BREAK MY SOUL","Beyoncé","BREAK MY SOUL","2022-06-21",278281,71,0.0575,0.687,0.887,2.21e-06,0.27,-5.04,0.0826,114.941,1,0,278281,0.853,4,"2KukL7UlQ8TdvpaA7bY3ZJ","pop","r&b",NA,NA,NA,NA
"Dream of You","Camila Cabello","Romance","2019-12-06",222999,52,0.205,0.659,0.663,0,0.105,-6.823,0.0811,140.013,11,1,222999,0.333,4,"7jJ4y8hXMLMlGBu7Zm1XZj","dance pop","pop",NA,NA,NA,NA
"The Cure","Little Mix","LM5 (Deluxe)","2018-11-16",215333,51,0.274,0.605,0.748,0,0.103,-5.043,0.0527,96.043,8,1,215333,0.219,4,"1HiNWMc7vmFVM5mdwrNKnO","girl group","pop","talent show","uk pop",NA,NA
"Night Crawling (feat. Billy Idol)","Miley Cyrus","Plastic Hearts","2020-11-27",189013,62,0.0378,0.638,0.918,0.00805,0.0948,-4.368,0.0382,134.022,11,1,189013,0.668,4,"4U34WsyOvppOMnRfq7DuOy","pop",NA,NA,NA,NA,NA
"No More Tears (Enough is Enough)","Bella DeNapoli","No More Tears (Enough is Enough)","2021-12-30",147491,40,0.0817,0.554,0.803,0,0.0923,-3.203,0.0689,134.939,1,0,147491,0.0398,4,"3EVpWgDbcnK435s1WtLqoy",NA,NA,NA,NA,NA,NA
"Balance ton quoi","Angèle","Brol","2018-10-05",189480,68,0.594,0.703,0.442,2.39e-05,0.276,-10.383,0.0823,115.932,0,1,189480,0.381,4,"2jX5c5RFp0A9E1GDsvGxIa","belgian pop","french pop","variete francaise",NA,NA,NA
"Since U Been Gone","Kelly Clarkson","Breakaway","2004",188960,76,0.00206,0.662,0.739,0.0603,0.113,-5.354,0.0322,130.999,9,0,188960,0.382,4,"6JY1IdkZGeIcPegKxjSKeb","dance pop","pop","talent show",NA,NA,NA
"Physical","Dua Lipa","Future Nostalgia","2020-03-27",193829,77,0.0137,0.647,0.844,0.000658,0.102,-3.756,0.0457,146.967,0,1,193829,0.746,4,"3AzjcOeAmA57TIOr9zF1ZW","dance pop","pop","uk pop",NA,NA,NA
"Vai malandra (feat. Tropkillaz & DJ Yuri Martins)","Various Artists","Vai malandra (feat. Tropkillaz & DJ Yuri Martins)","2017-12-18",201532,67,0.0227,0.876,0.55,4.52e-05,0.294,-5.464,0.152,129.924,2,1,201532,0.557,4,"6u0EAxf1OJTLS7CvInuNd7",NA,NA,NA,NA,NA,NA
