"track.name","artists","track.album.name","track.album.release_date","track.popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","track.duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6","genre_7","genre_8","genre_9","genre_10","genre_11"
"CASCADE - Remix","Alpha Wann","UNE MAIN LAVE L'AUTRE","2018-09-21",55,0.187,0.647,0.586,0,0.104,-8.082,0.458,79.341,8,1,211213,0.484,4,"5MYYSTYXC3rZpymhsRgzrj","french hip hop","pop urbaine",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sirius","The Alan Parsons Project","Eye In The Sky (Expanded Edition)","1982",69,0.0647,0.624,0.396,0.909,0.113,-15.411,0.034,111.401,4,1,115280,0.0388,4,"4OV0sRTFrZLXaZZ1sS9hLn","album rock","art rock","classic rock","mellow gold","progressive rock","soft rock","symphonic rock",NA,NA,NA,NA
"Superstar","Wiz Khalifa","Flight School","2009-04-17",32,0.0176,0.495,0.809,0,0.17,-7.717,0.289,159.861,6,1,196306,0.463,4,"7eQrFWYfmc5Fjh36LBCRqr","hip hop","pittsburgh rap","pop rap","rap","southern hip hop","trap",NA,NA,NA,NA,NA
"Theworstthing","Parcels","Day/Night","2021-11-05",56,0.411,0.757,0.345,0.03,0.0955,-10.554,0.0365,81.025,0,0,183906,0.624,4,"0EvZksFiDpboeG4UVaIvJa","aussietronica","indie soul",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Human","The Killers","Day & Age (Bonus Tracks)","2008-11-18",78,0.00132,0.557,0.8,0.0012,0.0906,-8.477,0.0601,135.47,10,1,245373,0.582,4,"1sTsuZTdANkiFd7T34H3nb","alternative rock","dance rock","modern rock","permanent wave","rock",NA,NA,NA,NA,NA,NA
"Runaway","Kanye West","My Beautiful Dark Twisted Fantasy","2010-11-22",84,0.219,0.374,0.568,0.00219,0.513,-3.825,0.109,84.733,1,0,547733,0.111,4,"3DK6m7It6Pw857FcQftMds","chicago rap","hip hop","rap",NA,NA,NA,NA,NA,NA,NA,NA
"(Lay Your Head On My) Pillow","Tony! Toni! Toné!","Sons Of Soul","1993-01-01",53,0.0466,0.707,0.487,4.71e-06,0.0643,-8.948,0.036,79.071,6,0,372026,0.568,4,"0rRGYJSkI7v2VtxJv8n90m","contemporary r&b","new jack swing","r&b","urban contemporary",NA,NA,NA,NA,NA,NA,NA
"Save Your Tears","The Weeknd","After Hours","2020-03-20",89,0.0212,0.68,0.826,1.24e-05,0.543,-5.487,0.0309,118.051,0,1,215626,0.644,4,"5QO79kh1waicV47BqGRL3g","canadian contemporary r&b","canadian pop","pop",NA,NA,NA,NA,NA,NA,NA,NA
"WE GOING CRAZY (feat. H.E.R. & Migos)","DJ Khaled","KHALED KHALED","2021-04-30",51,0.00749,0.512,0.917,0,0.163,-2.969,0.339,139.748,10,0,196037,0.64,4,"6BvcWv1vfVJSoWix7L5BAP","hip hop","miami hip hop","pop rap","rap",NA,NA,NA,NA,NA,NA,NA
"Wolves","Kanye West","The Life Of Pablo","2016-06-10",70,0.219,0.395,0.392,0.00173,0.134,-8.034,0.0925,155.856,1,1,301586,0.103,4,"432hUIl3ISDeytYW5XBQ5h","chicago rap","hip hop","rap",NA,NA,NA,NA,NA,NA,NA,NA
