"track.name","artists","track.album.name","track.album.release_date","track.popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","track.duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6","genre_7"
"WOAW - feat. Salmo","DJ TREEPLO","WOAW - feat. Salmo","2021-12-17",45,0.252,0.787,0.747,2.81e-05,0.366,-8.378,0.177,119.725,0,1,171548,0.487,4,"77N9HTxta6wLhJMj5KmuYi",NA,NA,NA,NA,NA,NA,NA
"Pepepe","Bresh","Pepepe","2018-07-18",35,0.0887,0.714,0.754,0,0.112,-5.115,0.0658,103.988,10,1,197307,0.379,4,"3Q31w7DEsShvqGEa6FqIqW","italian hip hop","italian pop","rap genovese",NA,NA,NA,NA
"USCITO DI GALERA","Lazza","SIRIO","2022-04-07",70,0.188,0.594,0.746,0,0.0991,-5.853,0.137,164.231,7,0,172654,0.0802,4,"01DXwNf1GzEJkYTbXgL0eb","italian hip hop","italian pop","rap genovese","trap italiana",NA,NA,NA
"Michael J. Fox","Night Skinny","Pezzi","2017-12-08",44,0.542,0.469,0.891,0,0.124,-4.162,0.187,100.329,6,1,189786,0.502,3,"5lBuVayeTIL0aGu8d2DApU","italian hip hop","rap siciliano","trap italiana",NA,NA,NA,NA
"Otto Capi","Dj Dropsy","Otto Capi","2022-07-29",29,0.155,0.836,0.59,0.012,0.0901,-7.572,0.181,99.971,11,0,98400,0.448,4,"6bvZZ4VmJdWJ1DFCkBESzb",NA,NA,NA,NA,NA,NA,NA
"Se Acabo (feat. Method Man) - Remix","The Beatnuts","Take It Or Squeeze It","2001-03-10",65,0.156,0.935,0.519,0,0.425,-6.482,0.31,96.97,6,0,212293,0.884,4,"4F3AZKEJubvPsl0hBArVBW","east coast hip hop","queens hip hop",NA,NA,NA,NA,NA
"Te Quiero","Vale Pain","Te Quiero","2022-07-22",53,0.118,0.836,0.567,0,0.109,-9.116,0.155,133.989,8,1,163624,0.89,4,"1MkT5kL2eE8y7s09FxuRTB","trap italiana",NA,NA,NA,NA,NA,NA
"Mare Mosso - feat. Bresh","Tedua","Vita Vera Mixtape","2020-06-05",47,0.197,0.428,0.744,0,0.218,-6.299,0.1,85.662,8,1,233215,0.567,4,"4oU7UcbiSaxbU8xQqGdvwS","indie liguria","italian hip hop","italian pop","rap genovese","trap italiana",NA,NA
"s!r! (feat. Lazza & Sfera Ebbasta)","thasup","s!r! (feat. Lazza & Sfera Ebbasta)","2022-07-15",62,0.387,0.675,0.739,0,0.177,-4.603,0.0524,149.959,6,0,237701,0.338,4,"3gUzi41YOt3VExeyHSLsMj","italian hip hop","italian pop","trap italiana",NA,NA,NA,NA
"AOK","Tai Verdes","TV","2021-05-20",76,0.125,0.731,0.626,0,0.183,-6.919,0.0805,82.488,11,1,173640,0.862,4,"1sx0XsWUusUoPstbvokZjP","modern indie pop","singer-songwriter pop",NA,NA,NA,NA,NA
"Piccolo Pietro","Tredici Pietro","Piccolo Pietro","2018-09-13",33,0.0727,0.716,0.564,0,0.0892,-11.502,0.27,185.924,1,1,197419,0.601,4,"1nt8kWBK0PiCioqcYUpWFN","italian hip hop",NA,NA,NA,NA,NA,NA
"Patient","Post Malone","Stoney (Deluxe)","2016-12-09",64,0.565,0.743,0.662,0,0.128,-6.108,0.179,89.975,5,0,194333,0.552,4,"5DLTuH4A5VZB2HKpqHQR6t","dfw rap","melodic rap","pop","rap",NA,NA,NA
"Volare II","Izi","Aletheia","2019-05-10",43,0.261,0.468,0.616,3.29e-05,0.139,-8.378,0.0562,109.776,7,1,223500,0.169,4,"46a53Hc2sMyNj5eRnJiPke","indie liguria","italian hip hop","italian pop","rap genovese","trap italiana",NA,NA
"Solamente","Tai Verdes","TV","2021-05-20",56,0.44,0.659,0.641,0,0.157,-7.943,0.0944,85.027,1,0,134946,0.728,4,"4BMBpU3AbNPjsHk41S0uSl","modern indie pop","singer-songwriter pop",NA,NA,NA,NA,NA
"Guardami le spalle","Tredici Pietro","Guardami le spalle","2022-07-21",27,0.111,0.623,0.747,1.68e-05,0.171,-7.069,0.0622,166.972,1,0,164550,0.641,3,"45bzNquqVbyzteTbqd2DDG","italian hip hop",NA,NA,NA,NA,NA,NA
"Magari Un Giorno Capirai","Lil Busso","IPERMETROMONDO","2020-02-07",18,0.0825,0.919,0.623,2.99e-05,0.109,-7.706,0.047,117.938,2,1,162711,0.903,4,"2VEB661P8xI3y5JX5qPSri","italian hip hop",NA,NA,NA,NA,NA,NA
"The Island (feat. Hell Raton, En?gma, Slait)","Salmo","Midnite (Deluxe Version)","2013-04-02",51,0.124,0.402,0.923,0,0.305,-3.548,0.41,178.8,7,1,222893,0.594,4,"3DZa0s06F8I8euQ8LKUJ5T","italian hip hop","italian pop","italian underground hip hop","rap sardegna",NA,NA,NA
"PARA' - feat. Tedua","Bresh","CHE IO MI AIUTI","2020-02-14",61,0.18,0.749,0.653,0,0.0812,-8.404,0.107,140.926,1,1,176008,0.682,4,"4dTZAG78TpWGifu1kMefaF","italian hip hop","italian pop","rap genovese",NA,NA,NA,NA
"Estate E Sto Qua","Cranio Randagio","COME IL RE LEONE","2018-10-30",46,0.132,0.741,0.596,0,0.111,-7.239,0.145,82.026,9,0,219506,0.343,4,"24VPqE1o9anleLDbaLAvE5","italian hip hop",NA,NA,NA,NA,NA,NA
"Un Giro Con Noi","Gemitaiz","Davide","2018-04-20",44,0.206,0.786,0.57,0,0.13,-8.286,0.139,132.042,6,1,203000,0.839,4,"2tfRgE0cGIKeDDliQ05jVf","italian hip hop",NA,NA,NA,NA,NA,NA
"VITA E PROBLEMI (feat. PSICOLOGI)","Lil Busso","SBAGLI DI PROPOSITO","2021-06-03",39,0.191,0.812,0.665,0,0.0995,-8.992,0.202,108.986,10,0,180550,0.66,4,"3GpNs79YEuGbnAAdWtSar2","italian hip hop",NA,NA,NA,NA,NA,NA
"La Presa B e La Presa Male (feat. Francesca Michielin)","Bresh","ORO BLU","2022-03-04",46,0.362,0.699,0.473,0,0.11,-8.033,0.0772,86.502,5,1,195452,0.0983,4,"16TaDfuh9aueJJY96mFdXw","italian hip hop","italian pop","rap genovese",NA,NA,NA,NA
"JEANS STRAPPATI (feat. Fabri Fibra)","Ketama126","KETY","2019-10-18",46,0.0339,0.765,0.651,1.55e-06,0.357,-6.904,0.0301,127.992,0,1,215160,0.0921,4,"0VzoWdVMnnYAF91VsQNVbA","drill italiana","emo rap italiano","italian hip hop","trap italiana",NA,NA,NA
"Classic","MKTO","MKTO","2012",83,0.0384,0.72,0.791,0,0.157,-4.689,0.124,102.071,1,1,175426,0.756,4,"6FE2iI43OZnszFLuLtvvmg","pop","post-teen pop",NA,NA,NA,NA,NA
"Una Come Te","Cesare Cremonini","La Teoria Dei Colori","2012-01-01",53,0.111,0.518,0.693,0,0.146,-5.523,0.0322,120.063,4,1,257600,0.672,4,"0WoY5ol6DYtT9WxvDU92et","italian adult pop","italian pop",NA,NA,NA,NA,NA
"NLFP (feat. thasup)","PSICOLOGI","NLFP (feat. thasup)","2022-05-12",42,0.101,0.751,0.876,0,0.129,-4.134,0.334,99.069,1,1,157826,0.681,4,"04f0jv4BPbSTzqCde1yk9n","italian hip hop","italian pop","rome indie",NA,NA,NA,NA
"Svuotatasche","Bresh","ORO BLU","2022-03-04",59,0.369,0.489,0.367,0,0.198,-10.254,0.0878,131.302,0,1,231602,0.524,4,"6I28wnb48iMVVfyTSf4lkx","italian hip hop","italian pop","rap genovese",NA,NA,NA,NA
"I Like You (A Happier Song) (with Doja Cat)","Post Malone","Twelve Carat Toothache","2022-06-03",86,0.121,0.733,0.67,0,0.121,-6.009,0.0751,100.964,5,1,192840,0.472,4,"0O6u0VJ46W86TxN9wgyqDj","dfw rap","melodic rap","pop","rap",NA,NA,NA
"For Real (feat. Dani Faiv)","Gianni Bismark","For Real","2019-04-12",16,0.441,0.655,0.673,0,0.121,-7.171,0.223,77.528,3,1,159010,0.606,4,"4RBTm6Ycc0p641XDNLl6NG","emo rap italiano","italian hip hop",NA,NA,NA,NA,NA
"UMORE (feat. ARIETE)","PSICOLOGI","TRAUMA","2022-04-28",52,0.149,0.657,0.752,0,0.121,-7.239,0.0978,88.962,9,1,156952,0.614,4,"5AYkL6iVkGwli8di1NrC3K","italian hip hop","italian pop","rome indie",NA,NA,NA,NA
"I miei ricordi","Piccolo","Amaranto","2021-05-04",32,0.164,0.784,0.732,0,0.465,-5.827,0.0459,128.053,2,1,175494,0.681,4,"4TtBBj8wGuZaDhpETyQXZ9","hyperpop italiano",NA,NA,NA,NA,NA,NA
"Low Rider","War","Why Can't We Be Friends?","1975-01-01",71,0.0877,0.812,0.644,0.785,0.0563,-10.761,0.0493,140.075,0,1,190826,0.989,4,"7Bz8yww6UMbTgTVLG6zbI4","classic soul","funk","motown","p funk","soul",NA,NA
"PxV","Cranio Randagio","Love & Feelings","2016-03-18",33,0.173,0.853,0.946,0,0.19,-4.008,0.177,99.96,2,1,206386,0.373,4,"4enMxQCxK4MHyDhd9N6CMj","italian hip hop",NA,NA,NA,NA,NA,NA
