"track.name","artists","track.album.name","track.album.release_date","track.popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","track.duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6"
"ULTRA SOLO","Polimá Westcoast","ULTRA SOLO","2022-02-14",75,0.233,0.802,0.846,1.92e-05,0.114,-4.495,0.207,109.982,1,1,227220,0.26,4,"0OTNHGKcqQbk51bOYe462Y","trap chileno","trap triste","urbano chileno",NA,NA,NA
"NUOVO RANGE (con SFERA EBBASTA)","Rkomi","TAXI DRIVER","2021-11-30",69,0.233,0.68,0.76,0,0.13,-4.866,0.0556,82.54,1,0,176772,0.709,4,"5YSR0sWUZk7NuIbkycxndu","italian hip hop","italian pop",NA,NA,NA,NA
"Estate","Will","Estate","2020-12-17",54,0.807,0.545,0.545,1.19e-05,0.114,-6.438,0.039,108.039,1,1,186147,0.244,4,"7AKMq2HTg8FQs9LE0v9uoy","italian pop","pop virale italiano",NA,NA,NA,NA
"Nostalgia","BLANCO","Nostalgia","2022-06-02",64,0.0372,0.644,0.904,0,0.0767,-3.749,0.0605,130.061,0,1,182307,0.562,4,"22gH5Qg5j5ZzF7LaR7Nrkj","italian hip hop","italian pop",NA,NA,NA,NA
"Loco","Justin Quiles","Loco","2021-05-13",70,0.222,0.77,0.899,1.14e-06,0.0894,-2.981,0.0494,128.05,8,1,231603,0.851,4,"6PDlkWmrq2ZKiUuFt2aQsH","reggaeton","trap latino","urbano latino",NA,NA,NA
"Tití Me Preguntó","Bad Bunny","Un Verano Sin Ti","2022-05-06",87,0.0993,0.65,0.715,0.000291,0.126,-5.198,0.253,106.672,5,0,243716,0.187,4,"1IHWl5LamUGEuP4ozKQSXZ","reggaeton","trap latino","urbano latino",NA,NA,NA
"Capri Sun","Capo Plaza","Hustle Mixtape","2022-06-03",72,0.0454,0.683,0.852,0,0.246,-2.755,0.0636,93.068,0,1,199680,0.448,4,"1XpmMe95dk9jh3zuOMpeU2","italian hip hop","italian pop","trap italiana",NA,NA,NA
"Brividi","Mahmood","Brividi","2022-02-02",65,0.448,0.523,0.614,0,0.254,-4.435,0.0347,122.962,7,1,199146,0.342,4,"1ZMGp9MTXbtAPvcKa0U3zS","italian adult pop","italian pop",NA,NA,NA,NA
"LA CODA DEL DIAVOLO (con ELODIE)","Rkomi","TAXI DRIVER","2021-11-30",68,0.132,0.481,0.748,7.77e-06,0.126,-6.007,0.356,128.777,6,0,188975,0.549,4,"6oYcyS6salzWI1ysjEScFh","italian hip hop","italian pop",NA,NA,NA,NA
"Chillax (feat. Ky-Mani Marley)","Farruko","Visionary","2015-10-23",72,0.0724,0.827,0.646,0,0.247,-4.727,0.0766,92.057,1,0,197840,0.512,4,"1lxswgIpzV6HhENRvkflES","reggaeton","trap latino","urbano latino",NA,NA,NA
"Una Nota","J Balvin","JOSE","2021-09-10",66,0.0191,0.662,0.788,0,0.0559,-4.55,0.205,179.876,3,0,170760,0.711,4,"7iqOIHHEmu6Vhw25GgQ2eA","reggaeton","reggaeton colombiano","trap latino","urbano latino",NA,NA
"Una Noche en Medellín","Cris Mj","Una Noche en Medellín","2022-01-21",81,0.0924,0.87,0.548,4.6e-05,0.0534,-5.253,0.077,96.018,10,0,153750,0.832,4,"0lREs0EdgrMQQKw00yx0Ct","mambo chileno","urbano chileno",NA,NA,NA,NA
"Tarot","Bad Bunny","Un Verano Sin Ti","2022-05-06",83,0.0225,0.795,0.684,0,0.658,-3.971,0.0419,114.011,11,0,237894,0.419,4,"41oY4WCTj5kccfesTVFnvN","reggaeton","trap latino","urbano latino",NA,NA,NA
"Temblor - Remix","Causa","Temblor (Remix)","2020-05-08",41,0.0278,0.64,0.8,0.00394,0.0848,-3.768,0.151,122.988,6,0,212682,0.444,4,"40gfrW5BX2QE5SrxzRq5TM",NA,NA,NA,NA,NA,NA
"14","Jayred","14","2018-09-14",50,0.147,0.63,0.563,0,0.111,-6.366,0.0462,99.945,8,0,110750,0.419,4,"1veUzOYyrblgIzylvPzkAZ","emo rap italiano","pop virale italiano","trap italiana",NA,NA,NA
"No Quiero Verte","Rvfv","No Quiero Verte","2020-02-14",56,0.17,0.795,0.638,0,0.284,-4.717,0.0638,104.93,7,0,201142,0.704,4,"4SPqRLaD6GI2ZdF8vyctsz","drill espanol","flamenco urbano","urbano espanol","urbano latino",NA,NA
