"track.name","artists","track.album.name","track.album.release_date","track.popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","track.duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6"
"Chanson d'amour","Nekfeu","Les étoiles vagabondes : expansion","2019-06-21",56,0.599,0.648,0.568,0.000487,0.0831,-8.814,0.203,94.598,4,0,222946,0.556,4,"7liToDBBc4Hqb87F83focF","french hip hop","pop urbaine","rap conscient",NA,NA,NA
"VVS","Ninho","Jefe","2021-12-03",67,0.337,0.751,0.61,0,0.11,-8.368,0.485,167.983,10,0,187027,0.525,4,"5S12Ds2RswM2ITC0u1J01f","french hip hop","pop urbaine",NA,NA,NA,NA
"Bizarrement","Caballero","OSO","2021-04-15",25,0.261,0.572,0.404,0,0.458,-9.274,0.385,74.157,1,1,209520,0.545,4,"41WUReeFtSmp6inD1yMdhg","belgian hip hop","french hip hop",NA,NA,NA,NA
"Ovni","JeanJass","Hat Trick","2021-04-15",34,0.11,0.679,0.529,3.97e-06,0.111,-9.41,0.104,86.332,8,0,203346,0.177,4,"2H9xpXrGrcqskzb6Hm8eQa","belgian hip hop","french hip hop",NA,NA,NA,NA
"Du mal à te dire","Dinos","Du mal à te dire","2021-06-15",39,0.174,0.608,0.464,0,0.712,-9.659,0.192,83.781,0,0,207120,0.274,4,"0xrZBrgskH3aJNRb6SlzcU","french hip hop","pop urbaine","rap francais",NA,NA,NA
"R.A.F","PLK","Enna Boost","2021-11-12",66,0.256,0.792,0.581,2.55e-06,0.254,-6.742,0.371,86.738,1,0,195586,0.637,5,"0Bo36dconUdOrPoFgVZM5p","french hip hop","pop urbaine","rap conscient","rap francais",NA,NA
"BM - London View","OTP","BM (London View)","2021-07-23",73,0.193,0.861,0.46,0,0.229,-10.105,0.362,143.008,11,1,164565,0.74,4,"1aWrjGga6Ws67b2CWWTb4u","melodic drill",NA,NA,NA,NA,NA
"Joli bébé","Naza","Gros bébé","2020-11-13",65,0.586,0.689,0.623,0,0.103,-7.206,0.129,154.95,1,0,178333,0.26,4,"1J4oMIhWDUd9cI1urhEyjl","french hip hop","pop urbaine","r&b francais","rap francais",NA,NA
"Attentat","PLK","Enna Boost","2021-11-12",71,0.192,0.844,0.656,1.82e-05,0.115,-5.935,0.216,99.983,7,0,194266,0.398,4,"5ioieZofgvXQK70RFhVohl","french hip hop","pop urbaine","rap conscient","rap francais",NA,NA
"Doja","Central Cee","Doja","2022-07-21",85,0.38,0.911,0.573,0,0.403,-7.43,0.288,140.04,6,1,97392,0.972,4,"3LtpKP5abr2qqjunvjlX5i","melodic drill",NA,NA,NA,NA,NA
"Ennemis, Pt. 2","Népal","Adios Bahamas","2020-01-10",41,0.123,0.582,0.516,0.00141,0.123,-7.151,0.167,119.985,1,1,196320,0.0592,4,"4CndCiu2XfWqfcFu4ABT4L","french hip hop",NA,NA,NA,NA,NA
"Copilote","FouKi","Grignotines de Luxe","2020-11-20",55,0.192,0.945,0.448,0,0.143,-7.664,0.0612,106.969,4,0,212490,0.601,4,"4CLktmKM775TQvUTSWvrVI","hip hop quebecois",NA,NA,NA,NA,NA
"Premier pas","Nekfeu","Les étoiles vagabondes : expansion","2019-06-21",57,0.807,0.833,0.594,0,0.341,-6.794,0.383,131.99,8,0,153986,0.665,4,"3Q35CdXXoyb2AxDghgadZZ","french hip hop","pop urbaine","rap conscient",NA,NA,NA
"Sticky","Drake","Honestly, Nevermind","2022-06-17",77,0.0917,0.853,0.495,0.000217,0.0844,-14.63,0.14,137.027,6,1,243227,0.0774,4,"4rmVZajAF7PkrCagGPHbqa","canadian hip hop","canadian pop","hip hop","pop rap","rap",NA
"Dégaine (feat. Damso)","Aya Nakamura","Dégaine (feat. Damso)","2022-03-09",65,0.181,0.618,0.698,0,0.154,-5.362,0.272,178.143,10,0,210958,0.784,4,"5cqLFudVQryezmVFmmyRJN","basshall","pop urbaine","r&b francais",NA,NA,NA
"Mea culpa","Squidji","Brahma","2020-02-28",39,0.0551,0.701,0.492,0,0.13,-8.131,0.0537,139.974,3,0,236571,0.461,4,"4mw4rqGiaYMwgq9ReV8mW3","cloud rap francais","rap calme",NA,NA,NA,NA
"De mes cendres","Nekfeu","Les étoiles vagabondes : expansion","2019-06-21",55,0.628,0.747,0.5,0.000513,0.143,-8.346,0.0671,140.414,10,0,216226,0.542,4,"6H4X9KDDdukPaS8WPJiYDV","french hip hop","pop urbaine","rap conscient",NA,NA,NA
"Location (feat. Burna Boy)","Dave","PSYCHODRAMA","2019-03-08",80,0.271,0.812,0.496,0,0.0955,-5.969,0.297,109.979,9,0,241293,0.55,4,"3z4CGd63tpUn9a6oQSG0CI","uk hip hop",NA,NA,NA,NA,NA
"Incontrolables","PLK","Enna Boost","2021-11-12",55,0.331,0.763,0.657,0.0103,0.0981,-8.004,0.202,135.178,11,0,202360,0.555,4,"3BZFZbj6PNHjZgHTtAk5LA","french hip hop","pop urbaine","rap conscient","rap francais",NA,NA
"Morale","Roméo Elvis","Morale","2016-02-28",29,0.594,0.736,0.582,0,0.11,-12.711,0.606,80.374,3,1,223149,0.631,4,"2CwKvU9vqlB4ve8QqYVC2P","belgian hip hop","french hip hop",NA,NA,NA,NA
"Irish Pub Song","The High Kings","Irish Pub Song","2013-04-05",59,0.724,0.742,0.717,0,0.199,-6.48,0.0622,126.081,0,1,180123,0.968,4,"6zX3HwSuoQThrabeoHJvCs","celtic","celtic rock","irish folk","irish pub song",NA,NA
