"track.name","artists","track.album.name","track.album.release_date","track.popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","track.duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6","genre_7","genre_8","genre_9","genre_10"
"Boom Boom","John Lee Hooker","Burnin'","1962-01-01",63,0.62,0.441,0.455,0.00187,0.135,-14.207,0.0485,160.9,10,1,152350,0.918,4,"2Mr1bGI2E10K7Mt1UJZ6Mw","blues","blues rock","british blues","delta blues","electric blues","memphis blues","traditional blues",NA,NA,NA
"Everybody Needs Somebody to Love","The Blues Brothers","The Blues Brothers","2017-05-22",29,0.592,0.492,0.935,0.00125,0.445,-3.755,0.0613,193.184,5,1,205426,0.904,4,"73CeCiL04yKZ5eg5r4ESFF","blues","blues rock",NA,NA,NA,NA,NA,NA,NA,NA
"Nocturne No. 1 In B Flat Minor, Op. 9 No. 1","Frédéric Chopin","Chopin: Nocturnes","2005-01-01",65,0.992,0.261,0.0149,0.897,0.102,-27.528,0.0419,75.296,1,1,286986,0.0382,4,"2d6ml9Qkx8r4EjuUyrdpRV","classical","early romantic era","polish classical",NA,NA,NA,NA,NA,NA,NA
"Lyric Pieces, Book 3, Op. 43: No. 6, Til våren","Edvard Grieg","Grieg: Lyric Pieces","2018-03-02",1,0.991,0.377,0.0195,0.93,0.108,-27.384,0.041,68.575,6,1,189580,0.0434,4,"6hynPVRQRhAQqELGaexL3g","classical","late romantic era","norwegian classical",NA,NA,NA,NA,NA,NA,NA
"Piano Concerto in G Major, M. 83: II. Adagio assai","Maurice Ravel","Ravel: Piano Concertos; Valses nobles et sentimentales","1998-01-01",48,0.976,0.126,0.0159,0.949,0.0863,-34.595,0.0401,74.02,4,1,563000,0.0373,4,"4ju98rvX917EwXLKLnRbQ2","classical","impressionism","neoclassicism","post-romantic era",NA,NA,NA,NA,NA,NA
"Uptight (Everything's Alright) - Single Version","Stevie Wonder","The Definitive Collection","2002-10-29",28,0.131,0.58,0.768,0,0.116,-4.659,0.0291,134.242,6,1,174093,0.911,4,"4FUZeDtrT5fOyqw0MOWEiT","motown","soul",NA,NA,NA,NA,NA,NA,NA,NA
"24 Préludes, Op. 28: 17. In A Flat Major - 1974 Recording","Frédéric Chopin","Chopin: Preludes Op.28","1980",26,0.995,0.318,0.0457,0.878,0.106,-27.98,0.0409,72.506,8,1,169573,0.0995,5,"28OVCYDDnWOt6MBgc56PmK","classical","early romantic era","polish classical",NA,NA,NA,NA,NA,NA,NA
"Lyric Pieces, Book 5, Op. 54: No. 4, Notturno","Edvard Grieg","Grieg: Lyric Pieces","2018-03-02",1,0.991,0.258,0.0193,0.7,0.0895,-29.689,0.0433,69.357,0,1,212880,0.0352,3,"2fiNMRHaSy8W1atNpyZRVt","classical","late romantic era","norwegian classical",NA,NA,NA,NA,NA,NA,NA
"Easy On Me","Adele","30","2021-11-19",84,0.578,0.604,0.366,0,0.133,-7.519,0.0282,141.981,5,1,224694,0.13,4,"46IZ0fSY2mpAiktS3KOqds","british soul","pop","pop soul","uk pop",NA,NA,NA,NA,NA,NA
"I Wish","Stevie Wonder","The Definitive Collection","2002-10-29",33,0.108,0.818,0.702,5.33e-06,0.0663,-10.614,0.0548,105.873,10,0,249693,0.905,4,"51y5tGwXbfFCGfrtJvLAXS","motown","soul",NA,NA,NA,NA,NA,NA,NA,NA
"Préludes - Book II, L. 123: XI. Les tierces alternées","Claude Debussy","Debussy: Préludes II","2018-02-16",4,0.991,0.26,0.0808,0.882,0.0902,-29.519,0.0362,139.535,0,0,147866,0.0641,4,"6v0eR37ZWiRS3yKgmCcsfG","classical","impressionism","post-romantic era",NA,NA,NA,NA,NA,NA,NA
"24 Préludes, Op. 28: 4. In E Minor","Frédéric Chopin","Chopin: The Complete Préludes","2007-01-01",27,0.994,0.377,0.00456,0.841,0.0661,-29.87,0.0701,65.117,5,1,128453,0.0371,4,"4D77j4WbBEyLNtD9dLwSPS","classical","early romantic era","polish classical",NA,NA,NA,NA,NA,NA,NA
"Ferrari","James Hype","Ferrari","2022-04-01",84,0.0127,0.847,0.69,6e-05,0.0526,-7.877,0.0493,125.004,1,0,186661,0.692,4,"4zN21mbAuaD0WqtmaTZZeP","deep groove house","house","pop dance","uk dance",NA,NA,NA,NA,NA,NA
"Desabafo / Deixa Eu Dizer","Marcelo D2","A Arte Do Barulho","2008-01-01",66,0.0364,0.6,0.869,0,0.287,-5.565,0.315,85.409,4,0,175666,0.786,4,"5GCz9BOkt17aI6ZOR3EiUl","boom bap brasileiro","brazilian hip hop","brazilian rock","rap nacional antigo",NA,NA,NA,NA,NA,NA
