"","title","artists","album_name","year","season","popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6"
"43","Flowers","Lauren Spencer Smith","Flowers",2022,"Spring",74,0.869,0.684,0.449,0,0.0881,-9.738,0.611,66.165,"3","1",157373,0.341,"4","6Z165JvPnS8PYvGW8oLGLc","alt z","gen z singer-songwriter",NA,NA,NA,NA
"44","SPIFFERI","ARIETE","SPECCHIO",2022,"Winter",59,0.882,0.431,0.317,0,0.0931,-11.571,0.0572,92.878,"4","0",206093,0.391,"3","17LhPR6K1lzAVFB3umqNlr","italian hip hop","italian pop","rome indie",NA,NA,NA
"45","Nuvole Bianche","Ludovico Einaudi","Una Mattina",2004,"Winter",75,0.961,0.191,0.0582,0.89,0.0941,-25.398,0.0578,132.614,"8","1",357706,0.0454,"1","3weNRklVDqb4Rr5MhKBR3D","compositional ambient","neo-classical",NA,NA,NA,NA
"46","Moscow Mule","Bad Bunny","Un Verano Sin Ti",2022,"Spring",85,0.294,0.804,0.674,1.18e-06,0.115,-5.453,0.0333,99.968,"5","0",245939,0.292,"4","6Xom58OOXk2SoU711L2IXO","reggaeton","trap latino","urbano latino",NA,NA,NA
"47","Destroy Myself Just For You","Montell Fish","JAMIE",2022,"Summer",75,0.904,0.512,0.186,0.0281,0.11,-16.028,0.0373,59.677,"0","1",146000,0.191,"4","40Fmr4mXhz4PtrMAPTnoXB","pittsburgh rap",NA,NA,NA,NA,NA
"48","Roslyn","Ben Pellow","Stories",2017,"Spring",60,0.946,0.267,0.0563,0.00567,0.109,-14.171,0.0375,134.347,"1","1",317440,0.0709,"5","7ug6VGPW7YpDjj2eI4MFc5",NA,NA,NA,NA,NA,NA
"49","SNAP","Rosa Linn","SNAP",2022,"Spring",88,0.107,0.565,0.636,9.9e-06,0.447,-8.198,0.0638,170.01,"0","1",179551,0.525,"4","76OGwb5RA9h4FxQPT33ekc","alt z",NA,NA,NA,NA,NA
"50","Another Love","Tom Odell","Long Way Down (Deluxe)",2013,"Summer",92,0.695,0.445,0.537,1.65e-05,0.0944,-8.532,0.04,122.769,"4","0",244360,0.131,"4","3JvKfv6T31zO0ini8iNItO","chill pop",NA,NA,NA,NA,NA
"51","Fall in Love with You.","Montell Fish","JAMIE",2022,"Summer",79,0.92,0.538,0.0203,0.019,0.104,-23.163,0.0437,121.447,"4","1",132000,0.103,"3","4kJT7Yj6Za01KfKHjb7mZE","pittsburgh rap",NA,NA,NA,NA,NA
"52","Atlantis","Seafret","Tell Me It's Real (Expanded Edition)",2016,"Winter",87,0.0529,0.4,0.479,2.14e-06,0.115,-7.989,0.0308,166.159,"8","0",229173,0.213,"4","1Fid2jjqsHViMX6xNH70hE","folk-pop",NA,NA,NA,NA,NA
"53","Medicine","Daughter","The Wild Youth EP",2011,"Autumn",68,0.135,0.215,0.316,0.244,0.595,-12.201,0.0297,94.627,"3","1",258986,0.19,"3","2I07Lbee7UvoAdlTAl37AM","chamber pop","shimmer pop",NA,NA,NA,NA
