"","title","artists","album_name","year","season","popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5"
"87","BANG BANG","Massimo Pericolo","SOLO TUTTO","2021","Spring",40,0.0235,0.596,0.675,2.72e-05,0.209,-6.118,0.105,75.042,"8","0",141540,0.398,"4","6HfrOVSQECKjnSFQABkMRU","italian hip hop","trap metal italiana",NA,NA,NA
"88","MI SENTO BENE","Salmo","FLOP","2021","Autumn",51,0.112,0.706,0.801,3.7e-06,0.376,-4.965,0.309,94.843,"6","0",183089,0.501,"4","2v4kWcQ7LWML8TEQmLDAEO","italian hip hop","italian pop","italian underground hip hop","rap sardegna",NA
"89","Vivere","Gemitaiz","QVC Collection","2018","Spring",50,0.131,0.642,0.844,0,0.612,-5.195,0.378,120.004,"6","1",160060,0.908,"3","04RKo5Xl6wiCRJD2cXz0Su","italian hip hop",NA,NA,NA,NA
"90","Ispirazione","Mostro","The Illest, Vol. 1","2015","missing",36,0.371,0.467,0.766,0,0.122,-6.691,0.495,174.401,"10","0",268604,0.474,"3","4NIlOI5gqHkkWGYBcLMX07","italian hip hop","italian pop",NA,NA,NA
"91","La Prima Volta","Ernia","Gemelli (ascendente Milano)","2021","Spring",47,0.214,0.797,0.767,0.00936,0.222,-5.38,0.107,97.985,"11","0",173877,0.311,"4","3Tfl0pfnK589LKD0vJmgCZ","italian hip hop","italian pop","milan indie",NA,NA
"92","FIORI MORTI","PSICOLOGI","FIORI MORTI","2022","Spring",42,0.12,0.46,0.76,0,0.261,-5.729,0.131,175.968,"1","1",136313,0.642,"4","5q5u3VYjeyWh7x9exL0q9B","italian hip hop","italian pop","rome indie",NA,NA
"93","Ti amo ma","Mr.Rain","Ti amo ma","2016","Spring",43,0.298,0.765,0.481,0,0.194,-7.467,0.344,85.032,"6","0",205500,0.536,"4","55uYioGIXCJbwzkpSBjNAg","italian adult pop","italian pop",NA,NA,NA
"94","E fumo ancora","Mostro","Ogni maledetto giorno (Deluxe Edition)","2017","Autumn",49,0.162,0.478,0.657,0,0.105,-8.706,0.468,92.319,"8","1",233250,0.246,"4","3rhvUijV8sTacu0jKk2mRu","italian hip hop","italian pop",NA,NA,NA
"95","Sogni appesi","Ultimo","Pianeti","2017","Autumn",62,0.904,0.732,0.428,0,0.137,-9.654,0.119,127.413,"9","1",212863,0.639,"4","2HgBmx6tfhRO417ahshpeQ","italian adult pop","italian pop",NA,NA,NA
"96","NEMESI (feat. BLANCO)","Marracash","NOI, LORO, GLI ALTRI","2021","Autumn",64,0.136,0.736,0.736,0.000345,0.0753,-7.597,0.0641,120.02,"0","0",175626,0.333,"4","4QBXMgfDKmmVrYEqICIPxJ","italian hip hop","italian pop","italian underground hip hop","rap napoletano",NA
"97","Amianto","ARIETE","Spazio","2020","Spring",51,0.892,0.452,0.297,0,0.194,-14.231,0.0429,131.24,"4","1",179541,0.0929,"4","5FeDmOkJlmFcb8arUhMi87","italian hip hop","italian pop","rome indie",NA,NA
"98","Miss - Emodrlll version 2019","Massimo Pericolo","Scialla Semper (Emodrill Repack)","2019","Autumn",56,0.594,0.398,0.654,5.53e-06,0.0998,-8.024,0.186,147.92,"11","1",197585,0.159,"4","7IvawAjYcBRjRCNHaaTuZh","italian hip hop","trap metal italiana",NA,NA,NA
"99","Futuro","PSICOLOGI","2001","2019","Summer",53,0.656,0.571,0.667,0,0.174,-7.475,0.105,80.025,"6","1",168000,0.686,"4","7crqSyRvbetPDRqCREnGdj","italian hip hop","italian pop","rome indie",NA,NA
"100","Memorie di uno sconfitto","Mostro","La nave fantasma","2014","Spring",37,0.447,0.704,0.714,0,0.0883,-6.7,0.0534,130.225,"0","1",101000,0.806,"4","5WBSxI4X0aWMFoDRIyC8Rj","italian hip hop","italian pop",NA,NA,NA
"101","Dynasty","MIIA","Dynasty","2016","Winter",65,0.256,0.493,0.594,0,0.0759,-4.404,0.0378,123.751,"8","0",225515,0.304,"4","0heE5tAAaDQmnGhVDImPl2","norwegian pop",NA,NA,NA,NA
