"","title","artists","album_name","year","season","popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6","genre_7","genre_8","genre_9","genre_10","genre_11"
"79","Heart Of Glass","Blondie","Greatest Hits: Blondie","2006","Winter",67,0.00114,0.726,0.696,0.0771,0.0563,-8.017,0.0333,114.691,"4","1",252186,0.41,"4","41AE8ODX2JETBCa6muhSLY","candy pop","new wave pop","permanent wave","power pop","rock","synthpop",NA,NA,NA,NA,NA
"80","Oh! Darling - Remastered 2009","The Beatles","Abbey Road (Remastered)","1969","Autumn",69,0.0126,0.422,0.656,0.0279,0.268,-8.412,0.0397,173.93,"4","1",207240,0.549,"3","2mxByJWOajjiVsLWjNXvDJ","beatlesque","british invasion","classic rock","merseybeat","psychedelic rock","rock",NA,NA,NA,NA,NA
"81","Creep","Radiohead","Pablo Honey","1993","Winter",90,0.0097,0.515,0.43,0.000133,0.129,-9.935,0.0372,91.844,"7","1",238640,0.104,"4","70LcF31zb1H0PyJoS1Sx1r","alternative rock","art rock","melancholia","oxford indie","permanent wave","rock",NA,NA,NA,NA,NA
"82","Balla Ba","Franco Califano","Tac..!","1977","Spring",39,0.183,0.739,0.766,0,0.104,-7.838,0.127,128.023,"7","1",236333,0.814,"4","2DKZPAMk7EGSTjuInmNvZs","classic italian pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","Pieces of What","MGMT","Oracular Spectacular","2007","Winter",47,0.0672,0.572,0.756,6.26e-05,0.383,-6.634,0.0287,108.014,"4","0",163773,0.727,"4","6wxDu7ISgm5nppPMea4W7D","alternative rock","indie rock","indietronica","modern rock","rock",NA,NA,NA,NA,NA,NA
"84","Come Join the Murder - From Sons of Anarchy","The White Buffalo","Come Join the Murder (From Sons of Anarchy)","2014","Winter",59,0.67,0.529,0.445,0.032,0.106,-7.156,0.0275,124.166,"5","1",448093,0.179,"4","1jZoQ2R3wgs1UbOhio9j8I","alternative roots rock","new americana",NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","While My Guitar Gently Weeps - Remastered 2009","The Beatles","The Beatles (Remastered)","1968","Autumn",73,0.0205,0.453,0.654,0.00395,0.172,-8.855,0.0317,115,"4","0",285000,0.702,"4","389QX9Q1eUOEZ19vtzzI9O","beatlesque","british invasion","classic rock","merseybeat","psychedelic rock","rock",NA,NA,NA,NA,NA
"86","Suck It and See","Arctic Monkeys","Suck It and See","2011","Summer",65,0.00105,0.339,0.932,0.114,0.255,-5.017,0.057,128.291,"4","1",225986,0.586,"4","0LxeKwg9t7HOnyfv4bTALT","garage rock","modern rock","permanent wave","rock","sheffield indie",NA,NA,NA,NA,NA,NA
"87","Black Madonna","Cage The Elephant","Social Cues","2019","Spring",65,0.00122,0.705,0.728,0.0693,0.0753,-3.184,0.035,109.991,"4","0",226533,0.966,"4","4Y6GIje3GErVRIq1Ff5BJq","modern alternative rock","modern rock","pov: indie","punk blues","rock",NA,NA,NA,NA,NA,NA
"88","More Than A Woman","Bee Gees","How Can You Mend A Broken Heart","2020","Winter",72,0.175,0.601,0.703,8.4e-05,0.571,-6.24,0.0379,106.164,"7","1",196213,0.673,"4","2cX2coZS1PYBfPs8wgbdWE","disco","mellow gold","soft rock",NA,NA,NA,NA,NA,NA,NA,NA
"89","Back In The U.S.S.R. - Remastered 2009","The Beatles","The Beatles (Remastered)","1968","Autumn",64,0.069,0.48,0.969,0.00022,0.0608,-7.464,0.0854,142.489,"9","1",163453,0.494,"4","0j3p1p06deJ7f9xmJ9yG22","beatlesque","british invasion","classic rock","merseybeat","psychedelic rock","rock",NA,NA,NA,NA,NA
"90","Stormi","Iosonouncane","DIE","2015","Spring",46,0.0287,0.53,0.621,0,0.356,-7.693,0.0525,104.977,"7","1",249733,0.114,"4","6SQItrDKcga0XDL5EsLgRW","indie folk italiano","italian alternative","italian indie pop",NA,NA,NA,NA,NA,NA,NA,NA
"91","Too Much To Ask","Arctic Monkeys","Fluorescent Adolescent","2007","Summer",63,0.00777,0.724,0.757,0.000154,0.215,-4.787,0.0274,109.98,"9","0",183253,0.878,"4","1LSwssG5oIAMXYcvpOoPLC","garage rock","modern rock","permanent wave","rock","sheffield indie",NA,NA,NA,NA,NA,NA
"92","Song To Sing When I'm Lonely","John Frusciante","Shadows Collide With People","2004","Winter",53,0.294,0.629,0.673,0.0109,0.139,-4.379,0.0262,114.243,"6","1",195213,0.419,"4","2a0WwSvmFdXPTdDMilPA1y","acoustic rock",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","No Reply - Remastered 2009","The Beatles","Beatles For Sale (Remastered)","1964","Winter",54,0.67,0.718,0.593,0,0.172,-9.976,0.0377,124.251,"0","1",136066,0.869,"4","4ltC6PrqkTtpcRNi5lvS4z","beatlesque","british invasion","classic rock","merseybeat","psychedelic rock","rock",NA,NA,NA,NA,NA
"94","DREAM TEAM (feat. Dylan, Capo Plaza, Tedua & Shiva)","Sick Luke","X2","2022","Winter",56,0.0397,0.733,0.678,0,0.139,-6.272,0.376,130.069,"2","1",158630,0.305,"4","4IjDcm8qRdRiwrRtpIdpSD","italian hip hop","trap italiana",NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","Slow Dancing in a Burning Room - Live at the Nokia Theatre, Los Angeles, CA - December 2007","John Mayer","Where the Light Is: John Mayer Live In Los Angeles","2008","missing",57,0.2,0.514,0.536,8.27e-05,0.727,-7.13,0.0287,133.861,"1","0",319226,0.453,"4","4OT8GH9u9Gx7ydJ49ULunN","neo mellow","singer-songwriter",NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","Sunshine Of Your Love","Cream","Disraeli Gears","1967","Autumn",65,0.475,0.684,0.481,6.57e-05,0.118,-12.59,0.0384,115.078,"2","1",250000,0.784,"4","6FRwDxXsvSasw0y2eDArsz","album rock","blues rock","british blues","classic rock","folk rock","hard rock","psychedelic rock","rock","singer-songwriter","supergroup",NA
"97","And I Love Her - Remastered 2009","The Beatles","A Hard Day's Night (Remastered)","1964","Summer",74,0.64,0.767,0.331,0,0.0681,-10.777,0.0337,113.312,"1","0",149693,0.636,"4","65vdMBskhx3akkG9vQlSH1","beatlesque","british invasion","classic rock","merseybeat","psychedelic rock","rock",NA,NA,NA,NA,NA
"98","Cigarette Daydreams","Cage The Elephant","Melophobia","2013","Autumn",78,0.0807,0.636,0.676,0,0.0831,-3.442,0.0263,113.98,"2","1",208760,0.273,"4","6jHvX8ZnHKC1PnrPMJ0Emt","modern alternative rock","modern rock","pov: indie","punk blues","rock",NA,NA,NA,NA,NA,NA
"99","Slow Dancing in a Burning Room","John Mayer","Continuum","2006","Autumn",77,0.575,0.667,0.361,0.00506,0.0805,-8.69,0.0273,134.018,"1","0",242000,0.29,"5","2jdAk8ATWIL3dwT47XpRfu","neo mellow","singer-songwriter",NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","Maybe I’m Amazed - 2011 Remaster","Paul McCartney","McCartney (Archive Collection)","1970","Spring",68,0.387,0.471,0.494,0.0944,0.617,-10.407,0.0312,79.255,"7","1",229826,0.373,"4","1Qa0Y05al633fG8f9Peytc","beatlesque","classic rock","mellow gold","rock",NA,NA,NA,NA,NA,NA,NA
"101","The Night Before - Remastered 2009","The Beatles","Help! (Remastered)","1965","Summer",55,0.0537,0.461,0.762,0,0.238,-6.727,0.0379,84.496,"2","1",154933,0.632,"4","5xcfepnz1v7a83T8An9gjw","beatlesque","british invasion","classic rock","merseybeat","psychedelic rock","rock",NA,NA,NA,NA,NA
