"","title","artists","album_name","year","season","popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6","genre_7","genre_8","genre_9"
"18","The Sun","Myd","Born a Loser","2021","Spring",68,0.752,0.773,0.586,0.762,0.0941,-7.623,0.0311,126.014,"5","0",207373,0.729,"4","5UEZzRsrB4FKw1SIMoMD2y","filter house","french indie pop","french indietronica","new french touch",NA,NA,NA,NA,NA
"19","Lost","Frank Ocean","channel ORANGE","2012","Summer",86,0.0272,0.913,0.603,0.000503,0.167,-4.892,0.226,123.061,"8","1",234093,0.497,"4","3GZD6HmiNUhxXYf8Gch723","lgbtq+ hip hop","neo soul",NA,NA,NA,NA,NA,NA,NA
"20","Love Anthem, No. 1","Venerus","Love Anthem","2019","Summer",52,0.37,0.689,0.6,0.156,0.0898,-8.611,0.105,91.03,"5","0",236809,0.601,"4","3oBVv54hTMSYXXJGxO5JxJ","indie rock italiano","italian hip hop","italian indie pop","italian pop","milan indie","r&b italiano","rome indie",NA,NA
"21","Grapejuice","Harry Styles","Harry's House","2022","Spring",75,0.357,0.645,0.721,0.143,0.204,-4.394,0.0336,182.928,"5","1",191958,0.88,"4","4j6kId9QIqhoXvqHKgSKa0","pop",NA,NA,NA,NA,NA,NA,NA,NA
"22","Hell N Back","Bakar","Hell N Back","2019","Summer",81,0.312,0.584,0.684,9.05e-05,0.112,-4.314,0.567,210.164,"10","0",213573,0.72,"4","3NRql0A1Ef4RCvT473iqgD","uk alternative hip hop",NA,NA,NA,NA,NA,NA,NA,NA
"23","Baby Girl","Disco Lines","Baby Girl","2022","Summer",77,0.0921,0.73,0.907,0.114,0.23,-3.72,0.0606,120.968,"2","1",111074,0.249,"4","2cSdAkzAf2T4j4aLvx4LLz","stutter house",NA,NA,NA,NA,NA,NA,NA,NA
"24","Bubble Pop Electric","Gwen Stefani","Love Angel Music Baby","2004","Autumn",64,0.000527,0.566,0.976,0.00265,0.114,-3.866,0.262,193.979,"1","1",222360,0.354,"4","4A2vjMnkAWgPVqwl3Xc7pu","dance pop","pop",NA,NA,NA,NA,NA,NA,NA
"25","Music For a Sushi Restaurant","Harry Styles","Harry's House","2022","Spring",79,0.258,0.72,0.715,0.0568,0.107,-4.652,0.04,107.041,"11","1",193813,0.357,"4","5LYMamLv12UPbemOaTPyeV","pop",NA,NA,NA,NA,NA,NA,NA,NA
"26","Soulful Strut","Young-Holt Unlimited","The Definitive Young-Holt Unlimited","2005","missing",59,0.601,0.671,0.658,0.234,0.055,-9.203,0.0336,89.698,"10","1",181066,0.961,"4","6v8mOtpRlXbG3BOauqPRHC","instrumental soul",NA,NA,NA,NA,NA,NA,NA,NA
"27","Put Your Records On","Corinne Bailey Rae","Corinne Bailey Rae","2006","Winter",81,0.167,0.739,0.511,1.34e-06,0.133,-7.844,0.0362,96.038,"9","1",215360,0.542,"4","2nGFzvICaeEWjIrBrL2RAx","british soul","neo soul","pop soul","soul",NA,NA,NA,NA,NA
