"","title","artists","album_name","year","season","popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6","genre_7"
"63","Selezione naturale","Eugenio In Via Di Gioia","Tutti su per terra",2017,"Spring",38,0.474,0.423,0.715,0,0.233,-6.114,0.203,99.965,"4","0",206500,0.83,"4","6r519WmgdWVmJxOjDCZKnz","indie folk italiano","italian alternative","italian indie pop","turin indie",NA,NA,NA
"64","SINCERO (feat. Alfa)","Mr.Rain","SINCERO (feat. Alfa)",2022,"Spring",55,0.0911,0.698,0.547,0,0.135,-8.082,0.0449,82.025,"2","1",145846,0.601,"4","4BAesorfhqpsEOwde2Iy1z","italian adult pop","italian pop",NA,NA,NA,NA,NA
"65","INSUPERABILE","Rkomi","TAXI DRIVER",2022,"Winter",61,0.0344,0.667,0.848,0,0.183,-5.195,0.0851,122.035,"4","0",172461,0.84,"4","3nNxdeQX9iFeuosMcFEeDd","italian hip hop","italian pop",NA,NA,NA,NA,NA
"66","Puzzle","Galeffi","Scudetto",2017,"Autumn",30,0.0919,0.573,0.51,0,0.0483,-6.555,0.047,173.834,"9","1",186571,0.338,"4","2xfs74AYjpK8HAXeEl97nE","italian indie pop","rome indie",NA,NA,NA,NA,NA
"67","All you can eat","Eugenio In Via Di Gioia","Ep Urrà",2013,"Autumn",26,0.417,0.477,0.646,0,0.458,-5.078,0.123,157.105,"8","0",164231,0.579,"4","3SdyGe37TmEfZqAqH2DQfT","indie folk italiano","italian alternative","italian indie pop","turin indie",NA,NA,NA
"68","SuL Più BeLLo (Out Of My League) - prod. Yanomi","Alfa","NoRd",2021,"Spring",51,0.0188,0.529,0.726,0,0.392,-5.976,0.167,180.217,"4","1",164999,0.737,"4","4hI304HV6ULUfgwo2Ftr8z","pop virale italiano",NA,NA,NA,NA,NA,NA
"69","Capri Sun","Capo Plaza","Hustle Mixtape",2022,"Summer",72,0.0454,0.683,0.852,0,0.246,-2.755,0.0636,93.068,"0","1",199680,0.448,"4","1XpmMe95dk9jh3zuOMpeU2","italian hip hop","italian pop","trap italiana",NA,NA,NA,NA
"70","MI FAI IMPAZZIRE","BLANCO","MI FAI IMPAZZIRE",2021,"Summer",67,0.00273,0.477,0.844,0,0.137,-4.87,0.0458,169.941,"11","1",220235,0.203,"4","1x3Qb8np6S1UvpSLthwEJN","italian hip hop","italian pop",NA,NA,NA,NA,NA
"71","KUMITE","Salmo","FLOP",2021,"Autumn",64,0.0614,0.816,0.711,0,0.103,-4.45,0.121,140.062,"7","0",170018,0.775,"4","6yaNNYWPjkWHbh1jADEyJO","italian hip hop","italian pop","italian underground hip hop","rap sardegna",NA,NA,NA
"72","PARE (feat. Madame)","Ghali","Sensazione ultra",2022,"Spring",59,0.095,0.795,0.555,0,0.124,-7.91,0.314,125.084,"9","0",165960,0.493,"4","1WQxLQxEDMDwuaAmRXDHIw","italian hip hop","italian pop","milan indie",NA,NA,NA,NA
"73","Noccioline","Carl Brave x Franco126","Polaroid 2.0",2018,"Winter",53,0.0496,0.814,0.624,0,0.178,-4.904,0.0665,110.035,"2","1",187636,0.586,"4","7D7PP87gyUMopAuYOIrdLi","italian hip hop","italian pop","rome indie",NA,NA,NA,NA
"74","Caramello","Rocco Hunt","Rivoluzione",2021,"Autumn",56,0.0771,0.848,0.803,0,0.297,-5.883,0.144,127.972,"2","1",197760,0.864,"4","1laLs6CGimqWYgwnZelz8H","italian adult pop","italian hip hop","italian pop","pop virale italiano","rap napoletano",NA,NA
"75","5 Gocce (feat. Rkomi)","Irama","Il giorno in cui ho smesso di pensare",2022,"Winter",68,0.279,0.742,0.808,9.85e-06,0.325,-5.206,0.059,74.992,"4","1",160000,0.846,"4","3z0GeNGWyVduziP1cQ0mFN","italian adult pop","italian pop",NA,NA,NA,NA,NA
"76","Destri","Gazzelle","OK",2021,"Winter",69,0.126,0.459,0.696,0,0.198,-4.953,0.0406,85.819,"8","1",185503,0.422,"4","7nRFsITVaSHko2Fw2Gcy59","italian adult pop","italian pop","rome indie",NA,NA,NA,NA
