"","title","artists","album_name","year","season","popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6","genre_7","genre_8","genre_9"
"69","Just Like This","Limp Bizkit","Significant Other","1999","missing",62,0.00896,0.639,0.947,0.00173,0.0915,-4.216,0.142,100.869,"6","1",215040,0.586,"4","7on45JTbuUgroAC4DXwBqQ","alternative metal","funk metal","nu metal","post-grunge","rap metal","rock",NA,NA,NA
"70","Learn to Fly","Foo Fighters","There Is Nothing Left To Lose","1999","Autumn",80,1.83e-05,0.465,0.919,2.07e-05,0.262,-4.025,0.0408,135.997,"4","1",235293,0.537,"4","5OQsiBsky2k2kDKy2bX2eT","alternative metal","alternative rock","modern rock","permanent wave","post-grunge","rock",NA,NA,NA
"71","All The Faces","Creed Bratton","Coarsegold","2003","Winter",45,0.7,0.623,0.138,1.62e-06,0.111,-20.568,0.0321,104.07,"2","1",179906,0.434,"4","4BJhs8XWyr2M4MLvS4CSKx",NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","Blackbird","Alter Bridge","Blackbird","2007","Winter",58,0.00499,0.279,0.806,0.0126,0.116,-4.714,0.0448,149.463,"6","0",478133,0.132,"3","2o4AknH1hXnleCRW2rH45w","alternative metal","nu metal","post-grunge",NA,NA,NA,NA,NA,NA
"73","Vita Sociale","Canova","Avete ragione tutti","2016","Autumn",49,0.0673,0.554,0.761,0,0.155,-5.052,0.0349,128.006,"0","1",236453,0.648,"4","59CNDL5r58IK76bUJdOZh2","italian alternative","italian indie pop","milan indie",NA,NA,NA,NA,NA,NA
"74","Critical Acclaim","Avenged Sevenfold","Avenged Sevenfold","2007","Autumn",65,0.000329,0.499,0.966,6.1e-05,0.151,-4.679,0.11,138.042,"7","1",315173,0.215,"4","4VymMhILk4DSwghPkLUPVS","alternative metal","nu metal",NA,NA,NA,NA,NA,NA,NA
"75","Since I Don't Have You","Guns N' Roses","The Spaghetti Incident?","1993","Autumn",68,0.465,0.466,0.632,0.000256,0.135,-6.94,0.0326,68.893,"6","1",259906,0.246,"4","5sVf9kN90ScddiT3SdT9Qh","glam metal","hard rock","rock",NA,NA,NA,NA,NA,NA
"76","Loving The Alien","Velvet Revolver","Contraband","2004","missing",42,0.0167,0.474,0.631,0.153,0.0614,-6.749,0.0299,122.83,"0","1",347826,0.1,"4","0feXvJJWws7RDvC0kHfbLr","alternative metal","alternative rock","glam metal","grunge","hard rock","nu metal","post-grunge","rock","supergroup"
"77","Ho Capito Che Non Eravamo","Canova","Vivi Per Sempre","2019","Spring",37,0.0521,0.497,0.908,0,0.15,-3.326,0.0345,101.004,"9","1",176013,0.524,"4","5DAetDZPAMD3mkVlRnhrzf","italian alternative","italian indie pop","milan indie",NA,NA,NA,NA,NA,NA
"78","Una casa sulla luna","CIMINI","ANCORA MEGLIO","2018","Spring",20,0.985,0.396,0.223,0.00538,0.145,-13.543,0.0426,80.8,"7","1",156571,0.0598,"4","0i7SJZk2gWjmgnhX4PFm0E","italian alternative","italian indie pop",NA,NA,NA,NA,NA,NA,NA
"79","Hotel California - 2013 Remaster","Eagles","Hotel California (2013 Remaster)","1976","Winter",86,0.00574,0.579,0.508,0.000494,0.0575,-9.484,0.027,147.125,"2","1",391376,0.609,"4","40riOy7x9W7GXjyGp4pjAv","album rock","classic rock","heartland rock","mellow gold","rock","soft rock","yacht rock",NA,NA
