"","title","artists","album_name","year","season","popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6","genre_7","genre_8","genre_9"
"11","Talkin' Bout a Revolution","Tracy Chapman","Tracy Chapman","1988","Spring",73,0.329,0.561,0.732,0.000228,0.0755,-6.178,0.0281,118.975,"7","1",161600,0.671,"4","0YMFcrMtBowDdD5bPz0cgy","folk","lilith","singer-songwriter","women's music",NA,NA,NA,NA,NA
"12","For the First Time","The Script","Science & Faith","2010","Autumn",70,0.0339,0.388,0.633,0,0.104,-4.769,0.0275,173.947,"9","1",252440,0.381,"4","49kjlZP49LMD1MrrcvXDET","celtic rock","pop",NA,NA,NA,NA,NA,NA,NA
"13","Pieces","Sum 41","Chuck","2004","Autumn",72,0.00682,0.457,0.83,0.00337,0.166,-5.262,0.0321,99.93,"5","1",182040,0.602,"4","1ibeKVCiXORhvUpMmtsQWq","alternative metal","canadian pop punk","canadian punk","modern rock","nu metal","pop punk","post-grunge","punk","rock"
"14","Break Up In A Small Town","Sam Hunt","Montevallo","2014","Autumn",17,0.0749,0.579,0.776,0,0.239,-5.365,0.173,136.044,"8","1",229880,0.434,"4","3rw4pp6JEqlHZ5wQfiWV5K","contemporary country","country","country pop","modern country rock",NA,NA,NA,NA,NA
"15","Supermarket Flowers","Ed Sheeran","÷ (Deluxe)","2017","Spring",77,0.914,0.589,0.242,0,0.0887,-10.517,0.0442,89.749,"6","1",221106,0.257,"4","4VuS959DSpr82t3qBqCrWG","pop","singer-songwriter pop","uk pop",NA,NA,NA,NA,NA,NA
"16","Hold Me While You Wait","Lewis Capaldi","Divinely Uninspired To A Hellish Extent","2019","Spring",80,0.443,0.688,0.53,0,0.0995,-5.507,0.0333,106.958,"11","1",205686,0.162,"4","60iSKGrGazRzICtMjADNSM","pop","uk pop",NA,NA,NA,NA,NA,NA,NA
"17","Following the Sun - Acoustic","SUPER-Hi","Following the Sun (Acoustic)","2021","Winter",18,0.808,0.718,0.508,0.000275,0.0907,-7.302,0.0363,127.018,"9","1",217520,0.53,"4","5U4Hk0h01zG0ryCTIQ4RyK",NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Sad Song - Remastered","Oasis","Definitely Maybe (Remastered)","1994","Summer",40,0.538,0.527,0.575,0,0.391,-6.36,0.0309,118.465,"8","0",269213,0.162,"4","7aISpvvTIuvm9N5TNDKCeP","beatlesque","britpop","madchester","permanent wave","rock",NA,NA,NA,NA
"19","Lucky Penny","Freight Train Foxes","Lucky Penny","2021","Summer",22,0.775,0.688,0.359,3.56e-06,0.0945,-8.76,0.0296,121.953,"8","1",168442,0.478,"4","5ypWiM0VOQDY4EXyUzwXDO","modern indie folk",NA,NA,NA,NA,NA,NA,NA,NA
"20","Far Away","Nickelback","All the Right Reasons","2005","Autumn",73,0.000681,0.518,0.797,0,0.107,-5.153,0.0309,132.918,"6","1",238173,0.293,"4","0ADZ5dmXhlfzjMw6lefoPl","alternative metal","canadian rock","post-grunge",NA,NA,NA,NA,NA,NA
"21","How to Save a Life","The Fray","How To Save A Life","2005","Autumn",83,0.269,0.64,0.743,0,0.101,-4.08,0.0379,122.035,"10","1",262533,0.361,"4","5fVZC9GiM4e8vu99W0Xf6J","neo mellow","piano rock","pop","pop rock",NA,NA,NA,NA,NA
"22","Live Forever - Remastered","Oasis","Definitely Maybe (Remastered)","1994","Summer",57,2.72e-05,0.191,0.829,2.11e-05,0.362,-3.381,0.0447,116.007,"9","0",276666,0.191,"5","0nOF9ewQlwzVU0qKPR2DTq","beatlesque","britpop","madchester","permanent wave","rock",NA,NA,NA,NA
"23","Happier","Ed Sheeran","÷ (Deluxe)","2017","Spring",80,0.536,0.522,0.385,0,0.135,-7.355,0.0288,89.792,"0","1",207520,0.236,"4","2RttW7RAu5nOAfq6YFvApB","pop","singer-songwriter pop","uk pop",NA,NA,NA,NA,NA,NA
"24","Holiday / Boulevard of Broken Dreams","Green Day","American Idiot (Deluxe)","2004","Autumn",60,0.000659,0.29,0.827,2.55e-06,0.301,-3.451,0.0362,167.086,"8","1",493400,0.45,"4","0HJRAM7Gt9jXskuXjZeFX3","modern rock","permanent wave","punk","rock",NA,NA,NA,NA,NA
"25","The Blower's Daughter","Damien Rice","O","2003","Spring",67,0.134,0.342,0.2,0.000153,0.341,-13.569,0.0324,133.113,"4","1",286653,0.0743,"4","5yyRH93h4Pm6tXXYTxt7ea","irish rock","irish singer-songwriter","neo mellow","singer-songwriter",NA,NA,NA,NA,NA
"26","We'll Be Alright","Gabrielle Grace","We'll Be Alright","2021","Spring",17,0.000621,0.574,0.733,0.0114,0.151,-7.458,0.0266,124.014,"5","1",210866,0.459,"4","1HAjJp41En471JJf8LWf2d",NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","You And Me","Lifehouse","Lifehouse","2005","Spring",77,0.114,0.459,0.427,0,0.168,-7.734,0.0267,139.902,"7","1",195493,0.354,"3","0815caqt2Lytro5EIzMufT","neo mellow","pop rock","post-grunge",NA,NA,NA,NA,NA,NA
"28","Lego House","Ed Sheeran","+","2011","Autumn",75,0.562,0.592,0.637,0,0.13,-8.48,0.0992,159.701,"11","1",185093,0.565,"4","5ubHAQtKuFfiG4FXfLP804","pop","singer-songwriter pop","uk pop",NA,NA,NA,NA,NA,NA
"29","The Scientist","Coldplay","A Rush of Blood to the Head","2002","Summer",87,0.731,0.557,0.442,1.46e-05,0.11,-7.224,0.0243,146.277,"5","1",309600,0.213,"4","75JFxkI2RXiU7L9VXzMkle","permanent wave","pop",NA,NA,NA,NA,NA,NA,NA
"30","New Day","Cam Monroe","New Day","2021","Summer",13,0.34,0.553,0.462,0.00443,0.314,-10.634,0.0275,144.001,"0","1",262166,0.217,"4","0eJIGPfTkMY9YmhgJzq2pp",NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Tell Me How To Get To You","Michael Barrow & the Tourists","Clover","2021","Summer",26,0.126,0.713,0.441,0.00025,0.0964,-8.507,0.0431,76.989,"0","1",171179,0.681,"4","52836dNDNDrkksuXV5W50b","modern indie folk","utah indie",NA,NA,NA,NA,NA,NA,NA
"32","Always Remember Us This Way","Lady Gaga","A Star Is Born Soundtrack","2018","Autumn",72,0.299,0.553,0.502,0,0.764,-5.972,0.0409,129.976,"0","1",210200,0.296,"4","74iZuPGwyL33VlTr6jTnab","art pop","dance pop","pop",NA,NA,NA,NA,NA,NA
"33","Marmalade","Mar Malade","MAR Malade","2021","Summer",30,0.854,0.805,0.64,0.082,0.28,-8.573,0.0498,105.354,"8","1",225360,0.458,"4","0iF53GP5FwGLLBSwA8q8YC",NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Leaf Stains","Brendan Abernathy","Leaf Stains","2021","Summer",18,0.593,0.61,0.432,0,0.102,-7.491,0.0261,111.659,"7","1",233960,0.191,"4","6BZClj7yOFEunpnbrnl3aT","athens indie",NA,NA,NA,NA,NA,NA,NA,NA
"35","Tupperware","Field Guide","Make Peace with That","2021","Autumn",40,0.639,0.643,0.396,0.00141,0.106,-12.435,0.0601,156.49,"4","1",186838,0.533,"4","4NJb1w94F475aQXXE07I5N","modern indie folk",NA,NA,NA,NA,NA,NA,NA,NA
"36","As I Saw You Then","Waiting for Smith","As I Saw You Then","2021","Summer",19,0.707,0.649,0.305,4.29e-05,0.11,-11.923,0.0496,52.458,"5","1",178631,0.255,"4","76dUTlTkIPhRoBmNEaDRXS",NA,NA,NA,NA,NA,NA,NA,NA,NA
