"","title","artists","album_name","year","season","popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6"
"13","Save Room For Us (Remix)","Tinashe","Save Room For Us (Remix)",2020,"Winter",44,0.0311,0.808,0.644,0.0117,0.093,-5.764,0.0782,122.988,"6","0",161097,0.557,"4","0W7rLXul6bBP5uAkBXxQhE","alternative r&b","dance pop","metropopolis","pop","r&b","urban contemporary"
"14","BIZCOCHITO","ROSALÍA","MOTOMAMI",2022,"Spring",72,0.605,0.93,0.774,0.0238,0.12,-4.203,0.0744,116.972,"1","1",109120,0.781,"4","4kXxEhuatrvwrTQycA7s9B","latin viral pop","pop","r&b en espanol",NA,NA,NA
"15","Bad Girl - JVKE Remix","Daya","Bad Girl (JVKE Remix)",2021,"Spring",56,0.522,0.834,0.662,9.07e-05,0.14,-6.179,0.0407,115.999,"5","1",166222,0.718,"4","5RL2Bu8rn2WiyWh9h8bPHt","alt z","pop",NA,NA,NA,NA
"16","Just Fine (feat. Kiana Ledé)","Kitty Ca$h","Just Fine (feat. Kiana Ledé)",2021,"Autumn",39,0.0325,0.765,0.733,0.00105,0.0903,-7.75,0.117,98.017,"6","1",171428,0.756,"4","4810VYLNArmiy9ftC7yhzV",NA,NA,NA,NA,NA,NA
"17","Crash","Charli XCX","CRASH",2022,"Spring",55,0.378,0.688,0.905,0,0.411,-3.361,0.054,112.075,"7","1",129985,0.85,"4","6WKDtdVILJvcfqpvSQgwAQ","art pop","candy pop","metropopolis","pop","uk pop",NA
"18","My Heart Goes (La Di Da) (feat. Topic)","Becky Hill","Only Honest On The Weekend",2021,"Summer",72,0.0185,0.695,0.781,3.12e-05,0.295,-5.578,0.0452,124.04,"7","0",148960,0.456,"4","2dWNKXTs5z7Iu1g0kYh4Xe","pop dance","pop house","uk dance","uk pop",NA,NA
"19","About Damn Time","Lizzo","About Damn Time",2022,"Spring",78,0.0995,0.836,0.743,0,0.335,-6.305,0.0656,108.966,"10","0",191822,0.722,"4","1PckUlxKqWQs3RlWXVBLw3","escape room","minnesota hip hop","pop","trap queen",NA,NA
"20","Fils de joie","Stromae","Multitude",2022,"Spring",63,0.46,0.547,0.638,4.15e-06,0.0775,-7.789,0.25,62.526,"1","1",195440,0.882,"4","6w2jx3gzQAtoKP22czcANv","belgian pop","g-house",NA,NA,NA,NA
"21","Constant Repeat","Charli XCX","CRASH",2022,"Spring",59,0.113,0.832,0.677,0,0.241,-6.442,0.0414,126.015,"0","0",189373,0.49,"4","0U9ltIN4q3aBKGZDZq5cAW","art pop","candy pop","metropopolis","pop","uk pop",NA
"22","In Your Eyes","The Weeknd","After Hours",2020,"Spring",80,0.00285,0.667,0.719,8.1e-05,0.0736,-5.371,0.0346,100.021,"7","0",237520,0.717,"4","7szuecWAPwGoV1e5vGu8tl","canadian contemporary r&b","canadian pop","pop",NA,NA,NA
"23","Heat Waves","Glass Animals","Dreamland",2020,"Summer",91,0.44,0.761,0.525,6.7e-06,0.0921,-6.9,0.0944,80.87,"11","1",238805,0.531,"4","3USxtqRwSYz57Ewm6wWRMp","gauze pop","indietronica","modern rock","pov: indie","shiver pop",NA
"24","Lights Off - ESC Version","We Are Domi","Lights Off (ESC Version)",2022,"Winter",46,0.176,0.584,0.766,1.19e-05,0.141,-6.65,0.0715,125.982,"9","0",179323,0.576,"4","0tOKpglJb9cza4WdTtxsv7","czsk electropop",NA,NA,NA,NA,NA
"25","SEKRET","Ronela Hajati","SEKRET",2022,"Spring",43,0.0451,0.76,0.695,0.00413,0.515,-6.088,0.0502,100.005,"5","0",181116,0.452,"4","0zC65JcBBk4GYAjL2tHKXa","albanian pop",NA,NA,NA,NA,NA
"26","Moscow Mule","Bad Bunny","Un Verano Sin Ti",2022,"Spring",85,0.294,0.804,0.674,1.18e-06,0.115,-5.453,0.0333,99.968,"5","0",245939,0.292,"4","6Xom58OOXk2SoU711L2IXO","reggaeton","trap latino","urbano latino",NA,NA,NA
"27","First Class","Jack Harlow","Come Home The Kids Miss You",2022,"Spring",81,0.111,0.902,0.582,3.18e-06,0.111,-5.902,0.109,107.005,"5","0",173947,0.332,"4","0wHFktze2PHC5jDt3B17DC","deep underground hip hop","kentucky hip hop","pop rap","rap",NA,NA
"28","Tetris (feat. Carl Brave) - prod. thasup","Mara Sattei","UNIVERSO",2022,"Winter",33,0.594,0.73,0.657,0,0.08,-7.049,0.0713,95.18,"1","1",220191,0.361,"4","1NobdW6Kmdyi5CC627CduR","italian hip hop","italian pop",NA,NA,NA,NA
"29","LA FAMA","ROSALÍA","MOTOMAMI",2022,"Spring",79,0.947,0.766,0.295,4.44e-05,0.119,-7.893,0.0464,136.016,"0","0",188106,0.805,"4","6Y46tOTRhkBamosyuWa6YX","latin viral pop","pop","r&b en espanol",NA,NA,NA
"30","Un Ratito","Bad Bunny","Un Verano Sin Ti",2022,"Spring",79,0.305,0.787,0.546,4.55e-05,0.122,-7.094,0.0532,93.05,"0","0",176936,0.222,"4","5CzixCxDkRXX9mScCmah8O","reggaeton","trap latino","urbano latino",NA,NA,NA
