"track.name","artists","track.album.name","track.album.release_date","track.duration_ms","track.popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","track.duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6","genre_7","genre_8","genre_9","genre_10"
"Broke Niqqa Society","Piccoli Cani Squadra","Emporio Del Male","2020-01-20",129600,10,0.0234,0.685,0.908,0.032,0.0805,-2.814,0.157,100.061,4,0,129600,0.479,4,"0jdRphsbjUu1UU3ZIs8lC5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Facebook","Sxrrxwland","Facebook","2018-10-05",201297,27,0.6,0.327,0.722,0,0.0935,-5.783,0.194,77.471,2,1,201297,0.374,4,"69k6UyDvNcDwGJ80yXzA38","hyperpop italiano","italian indie pop",NA,NA,NA,NA,NA,NA,NA,NA
"Storia di un artista","I Cani","Glamour","2013-10-29",244133,25,0.0814,0.698,0.822,3.91e-05,0.0992,-6.086,0.0318,127.984,9,1,244133,0.781,4,"2N3TB3jEGwpPExpUE4Cp6P","italian alternative","italian indie pop","rome indie",NA,NA,NA,NA,NA,NA,NA
"Sto Male","Prozac+","Miodio","2002-01-01",181000,20,0.000355,0.491,0.915,0.12,0.116,-7.177,0.0884,175.879,7,1,181000,0.326,4,"235dzvkeTAFVQiTL2mrEFH","italian alternative","italian indie pop","italian pop punk","italian punk","punk rock italiano",NA,NA,NA,NA,NA
"Tap Out","The Strokes","Comedown Machine","2013-03-25",222360,56,0.0176,0.737,0.745,0.381,0.306,-5.944,0.0351,115.989,9,1,222360,0.629,4,"2ThdB23G9Rgf1ExndFGEEg","alternative rock","garage rock","modern rock","permanent wave","rock",NA,NA,NA,NA,NA
"Bachelor (feat. Tutti Fenomeni)","Tauro Boys","TauroTape1","2017-12-22",111483,20,0.0526,0.635,0.426,0.205,0.0894,-10.77,0.165,154.941,2,1,111483,0.209,4,"7EgCsSBAUwW3G1ZGleTt3u","hyperpop italiano","italian hip hop",NA,NA,NA,NA,NA,NA,NA,NA
"Baby soldato","I Cani","Aurora","2016-01-29",240386,37,0.735,0.655,0.603,0.000818,0.123,-8.551,0.043,122.099,6,0,240386,0.442,4,"3SVS50W5TyaH9BLSwyKLOX","italian alternative","italian indie pop","rome indie",NA,NA,NA,NA,NA,NA,NA
"Lettera A Mia Madre","Piccoli Cani Squadra","Emporio Del Male","2020-01-20",118015,3,0.0313,0.693,0.711,0,0.238,-9.237,0.361,119.953,9,1,118015,0.606,4,"4v3Oxv5h6y8itxpi4idO8M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Espana","Sergio Caputo","No smoking","1985-11-06",240560,9,0.354,0.722,0.538,1.03e-05,0.11,-13.547,0.0323,105.281,1,1,240560,0.835,4,"0iHHFE4yR3pAbFCuPdbu4h","classic italian pop",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Playing Wit Da Autotune","Duwap Kaine","Playing Wit Da Autotune","2021-08-11",145032,34,0.00737,0.549,0.53,0,0.117,-10.325,0.0537,75.118,10,0,145032,0.0396,4,"2qDSe9BYg1ctH0L6Fwz758","dark plugg","pluggnb",NA,NA,NA,NA,NA,NA,NA,NA
